Profile ID,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description
sKG64fhogI,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
476,FALSE,Help cities to Open Data and work smarter and deliver results,FALSE,"Launch Open Data projects of Citadel on the Move, Open Transport Net, ECIM, agINFRA, which provide government connections, transport-related services, smarter mobility services, agricultural industry conncetions.",FALSE,,TRUE,unlocking the fuel for Open Innovation and Smarter Services,FALSE,
jERsLMOk2L,FALSE,,TRUE,Online maps and navigation use open data on public transport routes -  businesses -  etc,FALSE,,FALSE,,FALSE,
477,FALSE,,TRUE,"app uses local zoning data to provide an interactive map that lets users find out how their building is zoned, learn where to locate their business, and explore zoning patterns throughout the city",FALSE,,FALSE,,FALSE,
Ek6lLrMdIb,FALSE,,TRUE,"Provides a Linked Data platform called Callimachus Enterprise, to reduce data silos and make information available for new insights",FALSE,,FALSE,,FALSE,
479,FALSE,,FALSE,,TRUE,Uses weather data and agriculture data to offer new tools that allow you to measure and supply the right amount of N when the plant is ready to use it.,FALSE,,FALSE,
479,FALSE,"Use environmental data for better decision making, safety and efficiency",TRUE,"Provides various environmental related products, systems and services to provide decision making advice ",FALSE,,FALSE,,FALSE,
GjYn85hUYE,FALSE,,TRUE,Provide services such as software development and consulting in the area of Enterprise Content Management using products like EMC Documentum and Alfresco.,FALSE,,FALSE,,FALSE,
480,TRUE,AAA has testified before Congress on the need for better data on car/truck crashes which can serve as the foundation for effective traffic safety solutions.,FALSE,,FALSE,,FALSE,,FALSE,
481,FALSE,,TRUE,creates publications that provide technical standards for all phases of highway system development.,FALSE,,FALSE,,FALSE,
484,TRUE,Advocates for open data in Latina America and the Caribbean region. Organizer of ConDatos ABRE LATAM - Conferencia Regional de Datos Abiertos en Am̩rica Latina y el Caribe.,FALSE,,FALSE,,FALSE,,FALSE,
MLT9v8zE0z,FALSE,,FALSE,"Use data from clients' requirements and technical expertise to provide projects in Structural, Civil & Environmental, Building Services, Hydraulics and Virtual Design areas. ",TRUE,,FALSE,,FALSE,
ZTbVjsdPNP,FALSE,"To improve the efficiency, reliability, security and innovation of data. ",FALSE,"Use data to provide data center services such as colocation, Cloud services, N3 hosting, ISO 27001 hosting, business continuity and disaster recovery ",TRUE,,FALSE,,FALSE,
ZC4QEID9OC,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Zyefc8xGCn,FALSE,,TRUE,"Use open data to provide data driven and collaborative solutions to manage supply chain performance and risk via Collaborative Data Platforms, Business Intelligence Software and Sustainable Business Marketplace.",FALSE,,FALSE,,FALSE,
bZRHbCPhJK,FALSE,,TRUE,Uses legislative open data to provide Sistema de Seguimiento Legislativo (a service that allows associates to be informed of relevant changes in legislation).,FALSE,,FALSE,,FALSE,
J5g2phsr93,TRUE,Solution Majlis Monitor aims to make the Iranian Parliament accessible and transparent.,FALSE,,FALSE,,FALSE,,FALSE,
482,TRUE,Uses parliament data to increase transparency in public dialogue.,FALSE,,FALSE,,FALSE,,FALSE,
483,FALSE,,TRUE,Their Traditional Store Census is a tool that uses geospatial data to give customers a base of geo-referenced data on digital maps with a large number of shops.,FALSE,,FALSE,,FALSE,
rfAYcvKw0k,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
sKxtkxoAcb,FALSE,,TRUE,Certain products like the Crime Map and Canal and River Trust use geospatial and open government data to build their mobile applications,FALSE,,FALSE,,FALSE,
485,TRUE,Advocactes for issues related to transparency and access to public information in Costa Rica.,FALSE,,FALSE,,FALSE,,FALSE,
